"","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"1","21st Ave",94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,0
"2","Rockdale Dr",94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,1
"3","Orizaba Ave",94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",1
"4","525 20th Avenue # Upper Floor",94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,1
"5","268 Madison St",94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",0
"6","848 N Point St",94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,1
"7","Central Ave",94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,0
"8","1133 Kansas St",94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",0
"9","2351 33rd Ave",94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,1
"10","Washington St",94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,1
"11","Pierce St",94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,1
"12","459 Colon Ave",94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"13","243 Noriega St",94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"14","135 Evelyn Way",94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"15","21 Summit Way",94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,0
"16","1535 44th Ave",94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,1
"17","831 Marina Blvd",94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"18","869 Faxon Ave",94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"19","253 Friedell St",94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"20","727 Green St",94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,0
"21","1731 Vallejo St",94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",0
"22","Eureka St",94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",1
"23","220 Fairmount St",94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",1
"24","3655 21st St",94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"25","2233 Santiago St",94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",0
"26","Maddux Ave",94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",0
"27","2786 38th Ave",94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"28","21st Ave",94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,0
"29","Rockdale Dr",94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,0
"30","Orizaba Ave",94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"31","525 20th Avenue # Upper Floor",94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,0
"32","268 Madison St",94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",0
"33","848 N Point St",94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,1
"34","Central Ave",94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,0
"35","1133 Kansas St",94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",0
"36","2351 33rd Ave",94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,0
"37","Washington St",94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,1
"38","Pierce St",94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,1
"39","459 Colon Ave",94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"40","243 Noriega St",94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"41","135 Evelyn Way",94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"42","21 Summit Way",94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,0
"43","1535 44th Ave",94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,0
"44","831 Marina Blvd",94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"45","869 Faxon Ave",94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"46","253 Friedell St",94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",0
"47","727 Green St",94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,1
